,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ribeira Grande,PT,77.0,scattered clouds,38.52,-28.7,Quinta da Meia Eira
2,Sabzevar,IR,76.35,clear sky,36.21,57.68,پارکینگ وسایل سنگین جنوب
4,Belgrade,RS,80.6,broken clouds,44.8,20.47,Saruna Wellness - Hotel Park Belgrade
14,Lumut,MY,75.2,few clouds,4.23,100.63,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
15,Nouakchott,MR,86.0,sand,18.09,-15.98,Hôtel Iman
19,Salamiyah,SY,76.86,clear sky,35.01,37.05,Gondolas Forum grandchildren and grandparents
20,Kapaa,US,80.6,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
23,Atuona,PF,78.13,light rain,-9.8,-139.03,Villa Enata
26,Hithadhoo,MV,82.56,moderate rain,-0.6,73.08,Scoop Guest House
29,Chihuahua,MX,84.2,few clouds,28.5,-106.0,
33,Ca Mau,VN,79.25,overcast clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
34,Makakilo City,US,80.6,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
36,Puerto Ayora,EC,75.2,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
38,Male,MV,84.2,broken clouds,4.17,73.51,Hotel Octave Maldives
40,El Bagre,CO,88.03,light rain,7.59,-74.81,Hotel Real
41,Naze,JP,84.2,light rain,28.37,129.48,奄美ポートタワーホテル
43,Jamestown,US,78.01,broken clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
45,Komsomolskiy,UZ,78.8,clear sky,40.43,71.72,Ikathouse
50,Hambantota,LK,80.08,few clouds,6.12,81.12,Bungalow 63
51,Dingzhou,CN,77.0,light rain,38.51,115.0,宜家时尚宾馆
52,Iracoubo,GF,85.24,light rain,5.48,-53.2,Le Gite D Iracoubo
59,Dahuk,IQ,79.39,few clouds,36.87,42.99,Parwar Hotel
66,George Town,MY,82.4,few clouds,5.41,100.34,Cititel Penang
69,Albany,US,88.0,clear sky,42.6,-73.97,
72,Carutapera,BR,80.58,moderate rain,-1.2,-46.02,Lidera
73,Mahon,ES,78.8,few clouds,39.89,4.27,ARTIEM Capri
76,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
78,Kabalo,CD,81.86,broken clouds,-6.05,26.92,
82,Les Cayes,HT,79.18,moderate rain,18.2,-73.75,Villa Orphee
83,Victoria,HK,84.0,overcast clouds,22.29,114.16,Mini Hotel Central
90,Loandjili,CG,77.0,overcast clouds,-4.76,11.86,Résidence ARCHANGE
91,Wewak,PG,77.45,moderate rain,-3.55,143.63,In Wewak Boutique Hotel
94,Virginia Beach,US,89.01,broken clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
96,Lata,PT,82.99,scattered clouds,40.16,-8.33,Casa Maquia
97,Warangal,IN,79.03,moderate rain,18.0,79.58,Capital O 66968 Haveli The Landmark
98,Clinton,US,88.0,scattered clouds,42.59,-82.92,River's Edge
100,Ambon,ID,75.0,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
103,Luganville,VU,77.9,broken clouds,-15.53,167.17,The Espiritu Hotel
104,Faanui,PF,76.46,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
108,Hami,CN,82.18,broken clouds,42.8,93.45,Laoyutang Resort
110,Jasper,US,87.8,clear sky,37.2,-94.35,Guest House Motel
