,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ribeira Grande,PT,38.52,-28.7,77.0,88,40,6.93,scattered clouds
1,Torbay,CA,47.67,-52.73,72.0,46,20,10.29,few clouds
2,Sabzevar,IR,36.21,57.68,76.35,42,0,7.2,clear sky
3,Nenagh,IE,52.86,-8.2,62.01,77,75,14.99,broken clouds
4,Belgrade,RS,44.8,20.47,80.6,61,66,11.41,broken clouds
5,Castro,BR,-24.79,-50.01,58.1,68,27,10.38,scattered clouds
6,Vaini,TO,-21.2,-175.2,73.4,94,20,5.82,few clouds
7,New Norfolk,AU,-42.78,147.06,39.0,86,34,1.01,scattered clouds
8,Ahipara,NZ,-35.17,173.17,55.09,79,51,18.95,light rain
9,Constitucion,CL,-35.33,-72.42,54.05,71,100,20.83,overcast clouds
10,Ushuaia,AR,-54.8,-68.3,35.6,74,20,12.75,few clouds
11,Yellowknife,CA,62.46,-114.35,57.99,66,40,8.05,scattered clouds
12,Longyearbyen,SJ,78.22,15.64,46.4,61,20,8.05,few clouds
13,Mataura,NZ,-46.19,168.86,43.0,92,41,4.0,scattered clouds
14,Lumut,MY,4.23,100.63,75.2,94,20,3.67,few clouds
15,Nouakchott,MR,18.09,-15.98,86.0,70,90,20.8,sand
16,Busselton,AU,-33.65,115.33,44.01,77,1,4.61,clear sky
17,Kodiak,US,57.79,-152.41,57.2,82,90,3.47,light rain
18,Tuktoyaktuk,CA,69.45,-133.04,57.2,76,40,11.41,scattered clouds
19,Salamiyah,SY,35.01,37.05,76.86,31,0,7.83,clear sky
20,Kapaa,US,22.08,-159.32,80.6,78,40,11.41,scattered clouds
21,Nome,US,64.5,-165.41,51.8,81,90,9.17,overcast clouds
22,Saint-Philippe,RE,-21.36,55.77,71.6,72,24,4.7,few clouds
23,Atuona,PF,-9.8,-139.03,78.13,78,20,16.8,light rain
24,Punta Arenas,CL,-53.15,-70.92,37.4,55,40,28.86,scattered clouds
25,Rikitea,PF,-23.12,-134.97,69.71,83,73,23.49,broken clouds
26,Hithadhoo,MV,-0.6,73.08,82.56,77,42,11.18,moderate rain
27,Matagami,CA,49.75,-77.63,66.2,52,1,6.33,clear sky
28,Barrow,US,71.29,-156.79,37.4,93,90,14.99,fog
29,Chihuahua,MX,28.5,-106.0,84.2,35,20,8.84,few clouds
30,Talnakh,RU,69.49,88.4,59.0,82,100,11.18,overcast clouds
31,Cape Town,ZA,-33.93,18.42,61.0,87,100,10.29,overcast clouds
32,Qaanaaq,GL,77.48,-69.36,37.65,83,100,2.15,overcast clouds
33,Ca Mau,VN,9.18,105.15,79.25,86,88,3.22,overcast clouds
34,Makakilo City,US,21.35,-158.09,80.6,78,1,3.36,clear sky
35,Xam Nua,LA,20.42,104.04,67.53,93,86,2.19,overcast clouds
36,Puerto Ayora,EC,-0.74,-90.35,75.2,60,40,14.99,scattered clouds
37,Souillac,MU,-20.52,57.52,71.6,73,20,17.22,few clouds
38,Male,MV,4.17,73.51,84.2,83,75,5.82,broken clouds
39,Pio Xii,BR,-3.83,-45.15,91.2,48,48,4.7,light rain
40,El Bagre,CO,7.59,-74.81,88.03,63,76,2.1,light rain
41,Naze,JP,28.37,129.48,84.2,89,75,9.17,light rain
42,Hashtrud,IR,37.48,47.05,58.15,72,62,6.96,light rain
43,Jamestown,US,42.1,-79.24,78.01,83,75,3.36,broken clouds
44,Ust-Nera,RU,64.57,143.2,36.88,74,100,6.04,overcast clouds
45,Komsomolskiy,UZ,40.43,71.72,78.8,36,0,9.17,clear sky
46,Bambous Virieux,MU,-20.34,57.76,72.0,73,20,17.22,few clouds
47,Port Lincoln,AU,-34.73,135.87,47.03,82,56,2.75,broken clouds
48,Zhigansk,RU,66.77,123.37,40.01,87,9,14.63,clear sky
49,Hofn,IS,64.25,-15.21,57.2,67,75,5.82,broken clouds
50,Hambantota,LK,6.12,81.12,80.08,83,20,12.19,few clouds
51,Dingzhou,CN,38.51,115.0,77.0,94,100,4.47,light rain
52,Iracoubo,GF,5.48,-53.2,85.24,68,14,11.25,light rain
53,Tuatapere,NZ,-46.13,167.68,43.0,92,58,4.0,broken clouds
54,Avarua,CK,-21.21,-159.78,69.8,83,3,4.7,clear sky
55,Gbadolite,CD,4.28,21.02,72.19,94,100,1.54,overcast clouds
56,Pacific Grove,US,36.62,-121.92,72.0,60,1,3.36,smoke
57,Severo-Kurilsk,RU,50.68,156.12,51.53,72,94,3.94,overcast clouds
58,Bredasdorp,ZA,-34.53,20.04,59.0,82,100,4.7,overcast clouds
59,Dahuk,IQ,36.87,42.99,79.39,27,11,3.13,few clouds
60,Taltal,CL,-25.4,-70.48,58.15,62,19,4.03,few clouds
61,Imeni Babushkina,RU,59.76,43.13,62.02,84,100,5.28,overcast clouds
62,Melipilla,CL,-33.7,-71.22,59.0,54,75,13.87,broken clouds
