City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sfantu Gheorghe,RO,2020-08-22 02:18:05,45.87,25.78,59.0,88,0,0.47
1,Tuktoyaktuk,CA,2020-08-22 02:18:05,69.45,-133.04,55.4,76,20,13.87
2,Bluff,NZ,2020-08-22 02:18:05,-46.6,168.33,55.0,75,0,8.99
3,Codrington,AU,2020-08-22 02:18:06,-38.27,141.97,51.89,71,79,25.61
4,Puerto Ayora,EC,2020-08-22 02:18:06,-0.74,-90.35,66.99,89,62,5.99
5,Omboue,GA,2020-08-22 02:18:06,-1.57,9.26,74.03,79,100,4.9
6,Vaini,TO,2020-08-22 02:13:36,-21.2,-175.2,80.6,83,40,6.93
7,Hermanus,ZA,2020-08-22 02:18:07,-34.42,19.23,42.01,96,0,2.19
8,Port Elizabeth,ZA,2020-08-22 02:18:07,-33.92,25.57,50.0,87,14,3.36
9,Mantua,IT,2020-08-22 02:14:27,45.17,10.78,73.99,81,0,1.99
10,Tiarei,PF,2020-08-22 02:18:07,-17.53,-149.33,78.8,78,75,5.82
11,Ilulissat,GL,2020-08-22 02:18:07,69.22,-51.1,41.0,65,0,3.36
12,East London,ZA,2020-08-22 02:18:08,-33.02,27.91,56.98,63,6,7.83
13,Awassa,ET,2020-08-22 02:18:08,7.05,38.47,57.65,85,65,3.49
14,Coquimbo,CL,2020-08-22 02:18:08,-29.95,-71.34,50.0,87,0,3.36
15,Albany,US,2020-08-22 02:18:09,42.6,-73.97,73.99,90,95,3.8
16,Touros,BR,2020-08-22 02:18:09,-5.2,-35.46,75.2,88,75,6.93
17,Veraval,IN,2020-08-22 02:18:09,20.9,70.37,82.0,86,97,14.34
18,Rikitea,PF,2020-08-22 02:18:09,-23.12,-134.97,65.66,72,92,21.85
19,Puerto Varas,CL,2020-08-22 02:18:10,-41.32,-72.99,39.2,93,75,5.21
20,Rehoboth,NA,2020-08-22 02:18:10,-23.32,17.08,35.92,70,50,3.71
21,Punta Arenas,CL,2020-08-22 02:17:01,-53.15,-70.92,41.0,80,100,23.04
22,Mabai,CN,2020-08-22 02:18:10,23.01,104.45,65.86,98,98,1.88
23,Qaanaaq,GL,2020-08-22 02:18:10,77.48,-69.36,36.21,83,100,1.05
24,Sulmona,IT,2020-08-22 02:18:11,42.05,13.93,71.01,77,0,3.36
25,Dikson,RU,2020-08-22 02:18:11,73.51,80.55,43.05,79,0,14.14
26,Cabo San Lucas,MX,2020-08-22 02:17:15,22.89,-109.91,82.4,69,20,10.29
27,Orsha,BY,2020-08-22 02:18:11,54.52,30.41,50.38,96,41,4.52
28,Ugoofaaru,MV,2020-08-22 02:18:11,5.67,73.0,82.08,73,22,4.32
29,Lebu,CL,2020-08-22 02:18:12,-37.62,-73.65,48.25,89,1,9.89
30,Ushuaia,AR,2020-08-22 02:18:12,-54.8,-68.3,41.0,80,75,4.7
31,Maragheh,IR,2020-08-22 02:18:12,37.39,46.24,69.8,29,0,11.41
32,Tura,IN,2020-08-22 02:18:12,25.52,90.22,75.97,89,88,5.08
33,Chuy,UY,2020-08-22 02:18:13,-33.7,-53.46,43.79,77,0,6.38
34,Ifakara,TZ,2020-08-22 02:18:13,-8.13,36.68,68.45,73,67,3.02
35,Kununurra,AU,2020-08-22 02:16:42,-15.77,128.73,93.2,27,0,8.05
36,Tacarigua,VE,2020-08-22 02:18:14,10.09,-67.92,73.24,89,100,3.06
37,Castro,BR,2020-08-22 02:18:14,-24.79,-50.01,40.03,95,90,4.81
38,Kapaa,US,2020-08-22 02:18:14,22.08,-159.32,82.4,69,90,11.41
39,Gravdal,NO,2020-08-22 02:18:15,68.12,13.5,58.8,81,100,10.29
40,Nanortalik,GL,2020-08-22 02:18:15,60.14,-45.24,45.57,72,0,0.09
41,Artyom,AZ,2020-08-22 02:18:15,40.47,50.33,75.2,83,75,29.97
42,Lorengau,PG,2020-08-22 02:18:15,-2.02,147.27,86.59,63,34,8.66
43,Deming,US,2020-08-22 02:18:15,32.27,-107.76,93.2,15,1,21.92
44,Hobart,AU,2020-08-22 02:15:30,-42.88,147.33,52.0,66,75,12.75
45,Kahului,US,2020-08-22 02:18:16,20.89,-156.47,89.6,46,40,21.92
46,Cherskiy,RU,2020-08-22 02:18:16,68.75,161.3,39.61,90,100,14.56
47,Bathsheba,BB,2020-08-22 02:18:17,13.22,-59.52,84.2,83,75,17.22
48,Vidim,RU,2020-08-22 02:18:17,56.41,103.11,66.47,55,100,3.4
49,Arraial Do Cabo,BR,2020-08-22 02:18:17,-22.97,-42.03,66.2,88,90,13.87
50,Casablanca,MA,2020-08-22 02:18:17,33.59,-7.62,73.0,94,40,11.41
51,Kismayo,SO,2020-08-22 02:18:17,-0.36,42.55,76.17,81,82,13.62
52,Kalaleh,IR,2020-08-22 02:18:18,37.38,55.49,77.0,83,11,2.24
53,Vila Do Maio,CV,2020-08-22 02:18:18,15.13,-23.22,78.8,74,40,2.24
54,Antofagasta,CL,2020-08-22 02:18:18,-23.65,-70.4,55.4,76,90,6.93
55,Forestville,US,2020-08-22 02:15:01,38.85,-76.88,78.8,83,20,5.82
56,Najran,SA,2020-08-22 02:18:18,17.49,44.13,77.0,23,87,4.7
57,Tabou,CI,2020-08-22 02:18:19,4.42,-7.35,75.36,87,100,9.33
58,Masallatah,LY,2020-08-22 02:18:19,32.62,14.0,70.3,79,0,3.38
59,Quilmana,PE,2020-08-22 02:18:20,-12.95,-76.38,61.25,74,66,2.39
60,Mar Del Plata,AR,2020-08-22 02:14:48,-38.0,-57.56,50.0,93,0,2.24
61,Ponta Do Sol,PT,2020-08-22 02:18:20,32.67,-17.1,73.4,83,75,9.17
62,San Ignacio,BZ,2020-08-22 02:13:21,17.16,-89.07,81.0,77,1,3.0
63,Hithadhoo,MV,2020-08-22 02:18:21,-0.6,73.08,82.94,76,23,11.45
64,Merauke,ID,2020-08-22 02:18:21,-8.47,140.33,82.09,62,3,9.04
65,New Norfolk,AU,2020-08-22 02:18:21,-42.78,147.06,52.0,79,30,1.99
66,Stykkisholmur,IS,2020-08-22 02:18:21,65.08,-22.73,46.04,73,0,6.38
67,Longyearbyen,SJ,2020-08-22 02:18:22,78.22,15.64,40.77,82,77,3.22
68,Tuatapere,NZ,2020-08-22 02:18:22,-46.13,167.68,55.0,75,3,8.99
69,Palana,RU,2020-08-22 02:18:22,59.12,159.97,46.87,100,100,9.51
70,Cape Town,ZA,2020-08-22 02:18:22,-33.93,18.42,45.0,100,0,2.24
71,Plettenberg Bay,ZA,2020-08-22 02:15:35,-34.05,23.37,58.57,47,0,4.43
